title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
World Narrative Model for Highly Controllable Video Generation: A Paradigm Shift from Pixel Sampling to Physical World Orchestration,"Y Chen, X Chen, Y Zhu, L Tan, Z Wan, Y Xiong…",2026,0,"… , suitable for rapid prototyping and storyboarding; (ii) Human-… control methods in video generation following a ”progressive … I can precisely control the camera path and shot composition; (…",8ybFShrO9nQJ,"Y Chen, X Chen, Y Zhu, L Tan, Z Wan, Y Xiong… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2606.31946,unknown,unknown
Stage: Storyboard-anchored generation for cinematic multi-shot narrative,"P Zhang, Z Jia, K Liu, S Weng…",2026,12,"… in structured narrative control and cross-shot coherence. Our … pairs to enable controllable multi-shot video generation. • We … (eg, an incomplete camera movement), we randomly sample …",0f9-fljcxPEJ,"P Zhang, Z Jia, K Liu, S Weng… - Proceedings of the …, 2026 - openaccess.thecvf.com",[],https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_STAGE_Storyboard-Anchored_Generation_for_Cinematic_Multi-shot_Narrative_CVPR_2026_paper.html,unknown,unknown
DrawVideo: Generating Long Video from Storyboard Keyframe Sketches,"C Xu, H Liang, B Shi, H Zhang, Y Xiao, G Lin…",2026,0,"… to directly control character pose, camera composition, spatial … for storyboarddriven controllable long-video generation. The … and storyboard-driven framework for controllable long-video …",3P37OM0xgr4J,"C Xu, H Liang, B Shi, H Zhang, Y Xiao, G Lin… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2605.23508,unknown,unknown
Stable cinemetrics: Structured taxonomy and evaluation for professional video generation,"A Chatterjee, R Entezari…",2026,4,"… finegrained cinematic controls in generated videos, we train a … Storyboard-driven approaches like VDS [44] and VAST [66] … generation within the taxonomy, enabling more controlled and …",XvUrYyOyh0QJ,"A Chatterjee, R Entezari… - Advances in …, 2026 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2025/hash/a4aa9178b583977e31dcd11eb4fcbb38-Abstract-Conference.html,unknown,unknown
DreamShot: Personalized Storyboard Synthesis with Video Diffusion Prior,"J Huang, B Yang, P Yan, J Liu, B Xia…",2026,0,"… in video length, resolution, and controllability, thus hindering story-level … , a video diffusion prior based storyboard generation framework for coherent, personalized, and controllable …",jU9DWd3oQeAJ,"J Huang, B Yang, P Yan, J Liu, B Xia… - Proceedings of the …, 2026 - openaccess.thecvf.com",[],https://openaccess.thecvf.com/content/CVPR2026/html/Huang_DreamShot_Personalized_Storyboard_Synthesis_with_Video_Diffusion_Prior_CVPR_2026_paper.html,unknown,unknown
SmartDirector: Keyframe-Conditioned Cinematic Video Generation with Narrative Pacing Control,"Z Zhang, J Ma, Z Peng, H Wu, Y Han, J Liang…",2026,0,"… shot. In this work, we identify keyframes as the direct counterpart of storyboards in video generation. … Finally, we feed the shot-level visual content, camera descriptions, and character …",UIzFtOL4Am0J,"Z Zhang, J Ma, Z Peng, H Wu, Y Han, J Liang… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2605.27891,unknown,unknown
Camera Artist: A Multi-Agent Framework for Cinematic Language Storytelling Video Generation,"H Hu, Q Mao, Y Li, L Jin",2026,0,"… Storyboard Generation method for the Cinematography Shot … -reference controllability, as the video generator and utilize … –long shots but lacks purposeful camera control. MovieAgent …",6lhEIO4YoeIJ,"H Hu, Q Mao, Y Li, L Jin - arXiv preprint arXiv:2604.09195, 2026 - arxiv.org",[],https://arxiv.org/abs/2604.09195,unknown,unknown
ShotDirector: Directorially Controllable Multi-Shot Video Generation with Cinematographic Transitions,"X Wu, X Chen, Y Wang, Y Qiao",2026,1,"… Specifically, we adopt a camera control module that incorporates 6-DoF poses and … controllability of shot transitions in focal center and camera angle, we introduce parametric camera …",46LpjfbkZKAJ,"X Wu, X Chen, Y Wang, Y Qiao - Proceedings of the IEEE …, 2026 - openaccess.thecvf.com",[],https://openaccess.thecvf.com/content/CVPR2026/html/Wu_ShotDirector_Directorially_Controllable_Multi-Shot_Video_Generation_with_Cinematographic_Transitions_CVPR_2026_paper.html,unknown,unknown
Multishotmaster: A controllable multi-shot video generation framework,"Q Wang, X Shi, B Li, W Bian, Q Liu…",2026,20,"… In this work, we propose MultiShotMaster, the first controllable multi-shot video generation framework. We extend a … We explicitly control the subject motion, while the camera position is …",yGwXsrehsn0J,"Q Wang, X Shi, B Li, W Bian, Q Liu… - Proceedings of the …, 2026 - openaccess.thecvf.com",[],https://openaccess.thecvf.com/content/CVPR2026/html/Wang_MultiShotMaster_A_Controllable_Multi-Shot_Video_Generation_Framework_CVPR_2026_paper.html,unknown,unknown
Closed-Loop Triplet Synergistic Generation for Long-Form Video,"X Yin, X Peng, X Li, Z Xiong, Y Lu",2026,0,"… While storyboard-driven pipelines improve controllability, they … -pass execution of a storyboard. We present CoTriSyGen, an … and Memory Controller and GPT-5 for the shot Planner. The …",bMDknoXuJbIJ,"X Yin, X Peng, X Li, Z Xiong, Y Lu - arXiv preprint arXiv:2606.16184, 2026 - arxiv.org",[],https://arxiv.org/abs/2606.16184,unknown,unknown
