title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
AniMaker: Multi-Agent Animated Storytelling with MCTS-Driven Clip Generation,"H Shi, Y Li, X Chen, L Wang, B Hu…",2025,12,"… Central to this pipeline is the use of LLM prompt engineering by its four specialized agents, and we refer to the supplementary document for related details. The Director Agent (Section …",9vte9OcNlEMJ,"H Shi, Y Li, X Chen, L Wang, B Hu… - Proceedings of the …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3757377.3764009,unknown,unknown
AgenticVBench: Can AI Agents Complete Real-World Post-Production Tasks?,"Z Cao, Y Zheng, R Song, X Hu",2026,0,… video selection criteria are jointly determined by experts and the project team. Distractor generation and … We then tune a VLM-agent grading pipeline against these human labels so that …,rqNZL8l6-6QJ,"Z Cao, Y Zheng, R Song, X Hu - arXiv preprint arXiv:2605.27705, 2026 - arxiv.org",[],https://arxiv.org/abs/2605.27705,unknown,unknown
Orchestrating LLMs with Specialized Models: A Survey on Heterogeneous Multi-Model Agents,"Z Zhang, N Yao, Y Feng, Q Chai, L Liu, D Ye, P Zhao…",2026,0,"… ; multi-agent systems coordinate homogeneous LLM instances … We implemented a two-stage screening pipeline. First, we … LLM with Perception and Generation This category follows a …",89ip0vvoZFIJ,"Z Zhang, N Yao, Y Feng, Q Chai, L Liu, D Ye, P Zhao… - 2026 - preprints.org",[],https://www.preprints.org/manuscript/202607.1041,unknown,unknown
The Agentic AI Book: From Language Models to Multi-Agent Systems,R Rad,2026,0,"… This allows us to guide the generation-for instance, instead of generating a random image, we ask the model to generate an image conditioned on a specific text prompt. …",KTrUyrwKRJwJ,R Rad - 2026 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=IAXQEQAAQBAJ&oi=fnd&pg=PA1&dq=LLM+multi-agent+pipeline+automatic+film+video+generation&ots=y7FiURq2XB&sig=cj5JiFznXWcOA0sJvPEH6EnD-y8,unknown,unknown
Direct: Video mashup creation via hierarchical multi-agent planning and intent-guided editing,"K Li, M Li, J Chen, J Chen, Z Zheng, S Wang…",2026,5,"… Simulating a professional production pipeline, our hierarchical multi-agent framework … video editing (including movie mashups), involving LLMbased planning for narrative generation …",VfcdMFd3J8cJ,"K Li, M Li, J Chen, J Chen, Z Zheng, S Wang… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2604.04875,unknown,unknown
A Benchmark and Multi-Agent System for Instruction-driven Cinematic Video Compilation,"P Zhang, C Zhou, Z Zhang, H Liu, C Zhang…",2026,4,"… Notably, CMVE [21] introduced the first automatic pipeline for … -to-end cinematic video generation. However, these methods … of cinematic video compilation, quantitative metrics and LLM-…",HlapKiYstZ8J,"P Zhang, C Zhou, Z Zhang, H Liu, C Zhang… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2604.10456,unknown,unknown
VideoAgent: A Memory-Augmented Multimodal Agent for Video Understanding,"Y Fan, X Ma, R Wu, Y Du, J Li, Z Gao, Q Li",2024,272,"… , an LLM-powered multimodal agent for video understanding. It … pipeline is tracking all the objects across the video, and re-… it has video frames as visual conditions for generating better …",nH--JAQeuswJ,"Y Fan, X Ma, R Wu, Y Du, J Li, Z Gao, Q Li - European Conference on …, 2024 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-031-72670-5_5,unknown,unknown
Fictional Worldbuilding: Multi-Agent LLM Collaboration with Hierarchical Context Compression and Iterative Review,"J Chen, H Wang, W Yuan, Y Lai, Z Lu",2026,0,… multi-agent collaborative system that achieves LLM-driven automated worldbuilding while ensuring generation … single-agent pipeline with symbolic constraints rather than a multi-agent …,wyjjiWJeBKMJ,"J Chen, H Wang, W Yuan, Y Lai, Z Lu - arXiv preprint arXiv:2607.09403, 2026 - arxiv.org",[],https://arxiv.org/abs/2607.09403,unknown,unknown
Video Surveillance Metadata Extraction with Multimodal LLM Agents through Iterative Dialogue Exploration,PA Domingos,2025,0,"… , class-aware question generation; investigate reasoning… By employing this dialogue in a multi-agent environment, we … and automatic, VideoEspresso uses an automated pipeline to …",D0qrxihGDIEJ,PA Domingos - 2025 - run.unl.pt,[],https://run.unl.pt/entities/publication/7ecef06e-d71d-4e55-b9dd-c42d0dc771e4,unknown,unknown
Efficient video captioning annotation: a semi-automated framework via LLM-driven heuristics,"Q Cao, G Liao, T Tang",2026,0,"… Specifically, in the field of video captioning generation that … ing, inference chains, and multi-agent collaboration. Data … -of-the-art LLM-assisted video captioning pipelines, we conduct …",QK3IEMVCJUQJ,"Q Cao, G Liao, T Tang - Multimedia Systems, 2026 - Springer",[],https://link.springer.com/article/10.1007/s00530-026-02436-1,unknown,unknown
