title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
A survey of ai-generated video evaluation,"X Liu, X Xiang, Z Li, Y Wang, Z Li, Z Liu…",2024,27,… VBench [83]: VBench is a comprehensive benchmark suite … on benchmark datasets as well as existing quality evaluation … approaches in AI-generated video quality assessment. In this …,IkioMuwIwuAJ,"X Liu, X Xiang, Z Li, Y Wang, Z Li, Z Liu… - arXiv preprint arXiv …, 2024 - arxiv.org",[],https://arxiv.org/abs/2410.19884,unknown,unknown
"Generative AI Video Evaluation: Survey of Metrics, Benchmarks, and Trustworthiness","K Safavigerdini, BK Hatuwal…",2026,0,"… structured overview of the AIgenerated video evaluation (AIGVE) … , it enhances video quality assessment and mitigates modality-… FiVE-Bench: A fine-grained video editing benchmark for …",qq9onHn2EPwJ,"K Safavigerdini, BK Hatuwal… - Proceedings of the …, 2026 - openaccess.thecvf.com",[],https://openaccess.thecvf.com/content/CVPR2026W/VGBE/html/Safavigerdini_Generative_AI_Video_Evaluation_Survey_of_Metrics_Benchmarks_and_Trustworthiness_CVPRW_2026_paper.html,unknown,unknown
A Perspective on Quality Evaluation for AI-Generated Videos,"Z Zhang, W Sun, G Zhai",2025,12,"… methodologies for assessing AIGC video quality, including the … [9], and VBench [63], the alignment between text and video is … benchmarks addressing distinct aspects of AI-generated …",3Fqxl3hhzPUJ,"Z Zhang, W Sun, G Zhai - Sensors, 2025 - mdpi.com",[],https://www.mdpi.com/1424-8220/25/15/4668,unknown,unknown
Vquala 2025 challenge on genai-bench aigc video quality assessment: Methods and results,"Y Cheng, H Wang, P Xiao, Y Ding…",2025,10,"… Bench, which focuses on the critical task of AI-Generated Content (AIGC) video quality assessment… to establish a standardized benchmark for AIGC video quality and to drive research …",MzmMPK5IgusJ,"Y Cheng, H Wang, P Xiao, Y Ding… - Proceedings of the …, 2025 - openaccess.thecvf.com",[],https://openaccess.thecvf.com/content/ICCV2025W/VQualA/html/Cheng_VQualA_2025_Challenge_on_GenAI-Bench_AIGC_Video_Quality_Assessment_Methods_ICCVW_2025_paper.html,unknown,unknown
AIGVQA: A Unified Framework for Multi-Dimensional Quality Assessment of AI-Generated Video,"J Wang, J Wang, X Zhu, H Duan…",2025,3,… the complex task of AIgenerated video quality assessment. The … Assessment (VQualA) has introduced the GenAI-Bench … prehensive benchmark for the evaluation of AI-generated videos…,lvl_ut5atPgJ,"J Wang, J Wang, X Zhu, H Duan… - Proceedings of the …, 2025 - openaccess.thecvf.com",[],https://openaccess.thecvf.com/content/ICCV2025W/VQualA/html/Wang_AIGVQA_A_Unified_Framework_for_Multi-Dimensional_Quality_Assessment_of_AI-Generated_ICCVW_2025_paper.html,unknown,unknown
CVBench: benchmarking and comparing video generation with large multimodal models,"J Wang, H Duan, Y Xing, W Zhou…",2025,1,"… [16], provide absolute video quality ratings derived from more … as VBench [11], may appear larger in scale, but each video … benchmark for comparative AI-generated video evaluation, …",dvpZtuhyyvcJ,"J Wang, H Duan, Y Xing, W Zhou… - … Conference on Visual …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11396889/,unknown,unknown
Aigve-tool: Ai-generated video evaluation toolkit with multifaceted benchmark,"X Xiang, X Liu, Z Li, Z Liu, J Zhang",2025,7,"… AIGVE-Bench, a largescale benchmark dataset created with … Extending beyond traditional Video Quality Assessment (VQA… aspects, the desired AI-Generated Video Evaluation (AIGVE) …",F0tM0fJ01uIJ,"X Xiang, X Liu, Z Li, Z Liu, J Zhang - arXiv preprint arXiv:2503.14064, 2025 - arxiv.org",[],https://arxiv.org/abs/2503.14064,unknown,unknown
Aigve-macs: Unified multi-aspect commenting and scoring model for ai-generated video evaluation,"X Liu, J Zhang",2026,3,"… is AIGVEBENCH 2, a large-scale benchmark comprising 2,500 AIgenerated videos and 22,500 … challenges than video quality assessment. Previous research proposes that evaluating …",zxFKdvXssTIJ,"X Liu, J Zhang - Proceedings of the IEEE/CVF Conference …, 2026 - openaccess.thecvf.com",[],https://openaccess.thecvf.com/content/CVPR2026W/VGBE/html/Liu_AIGVE-MACS_Unified_Multi-Aspect_Commenting_and_Scoring_Model_for_AI-Generated_Video_CVPRW_2026_paper.html,unknown,unknown
Benchmarking multi-dimensional aigc video quality assessment: A dataset and unified model,"Z Zhang, W Sun, L Xinyue, J Jia, X Min…",2025,12,"… video quality assessment (VQA) metrics to evaluate the perceptual quality of AI-generated content (AIGC) videos … Existing AIGC benchmarks, such as VBench [36], organize text prompts …",b6dWmuhwzZAJ,"Z Zhang, W Sun, L Xinyue, J Jia, X Min… - ACM Transactions on …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3749844,unknown,unknown
Artifact-Bench: Evaluating MLLMs on Detecting and Assessing the Artifacts of AI-Generated Videos,"Y Tang, Y Shi, Z Zhang, Q Wang, X Bai, Y Ding…",2026,0,"… -Bench, a benchmark for evaluating MLLMs on AI-generated … Some benchmarks focus on quality assessment and … Unlike general video quality degradation or artifacts introduced by …",t3jLHnmmsOsJ,"Y Tang, Y Shi, Z Zhang, Q Wang, X Bai, Y Ding… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2605.18984,unknown,unknown
Ivy-fake: A unified explainable framework and benchmark for image and video aigc detection,"C Jiang, W Dong, Z Zhang, F Yu, W Peng…",2026,20,"… In addition to providing Ivy-Fake, we introduce Ivy-xDetector, a model for detecting AI-generated images and videos and explaining the associated artifacts. Unlike other MLLMs, Ivy-…",UoPg6WP0rysJ,"C Jiang, W Dong, Z Zhang, F Yu, W Peng… - Proceedings of the …, 2026 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3805622.3810615,unknown,unknown
Video Inspector: An Agentic-RL Framework and Benchmark for Human-Aligned Generative Video Evaluation,"J Somers, H Zale, J Mason, T Walker…",2026,0,"… However, evaluating AI-generated video is much more … , human-consistent video quality assessment. To power our … across four evaluation dimensions that mirror our benchmark’s …",0sCEfTK7ppMJ,"J Somers, H Zale, J Mason, T Walker… - Proceedings of the …, 2026 - openaccess.thecvf.com",[],https://openaccess.thecvf.com/content/CVPR2026F/html/Somers_Video_Inspector_An_Agentic-RL_Framework_and_Benchmark_for_Human-Aligned_Generative_CVPRF_2026_paper.html,unknown,unknown
