title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
AnyID: Ultra-Fidelity Universal Identity-Preserving Video Generation from Any Visual References,"J Wang, H Sheng, S Cai, Y Yang…",2026,0,… Identity-preserving video generation offers powerful tools for … users to customize videos featuring their beloved characters. … the video that better preserves the person’s dynamic identity. …,XQt3RRSQvT8J,"J Wang, H Sheng, S Cai, Y Yang… - Proceedings of the …, 2026 - openaccess.thecvf.com",[],https://openaccess.thecvf.com/content/CVPR2026/html/Wang_AnyID_Ultra-Fidelity_Universal_Identity-Preserving_Video_Generation_from_Any_Visual_References_CVPR_2026_paper.html,unknown,unknown
Memento: Reconstruct to Remember for Consistent Long Video Generation,"X Wei, L Ji, G Wang, X Liu, Z Zhang, S Wang…",2026,0,… and consistent character appearance across multiple shots. … is fundamentally an identity grounding problem. Existing … of-the-art multi-shot video generation methods through quantitative …,s-9ZynERQFoJ,"X Wei, L Ji, G Wang, X Liu, Z Zhang, S Wang… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2606.14667,unknown,unknown
WildActor: Unconstrained Identity-Preserving Video Generation,"Q Guo, T Yang, X He, F Shen, Y Zhang, Z Kang…",2026,0,"… centric narrative and multi-shot generation under substantial … as prompts, we generate canonical character sheets using a … human video generation that consistently preserves full-body …",QD7Ssxee320J,"Q Guo, T Yang, X He, F Shen, Y Zhang, Z Kang… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2603.00586,unknown,unknown
Camera Artist: A Multi-Agent Framework for Cinematic Language Storytelling Video Generation,"H Hu, Q Mao, Y Li, L Jin",2026,0,"… consistently outperforms existing baselines in narrative … -by-step generating multi-shot video with minimal manual interven… our framework maintains character identity, spatial continuity, …",6lhEIO4YoeIJ,"H Hu, Q Mao, Y Li, L Jin - arXiv preprint arXiv:2604.09195, 2026 - arxiv.org",[],https://arxiv.org/abs/2604.09195,unknown,unknown
Shot2story: A new benchmark for comprehensive understanding of multi-shot videos,"M Han, L Yang, X Chang, L Yao…",2025,12,… identities in different scenes. An example of one annotated … and virtual objects like animated characters. Annotators are first … proficiency in generating consistent and nuanced summaries…,xCNn7zprsRkJ,"M Han, L Yang, X Chang, L Yao… - … Conference on Learning …, 2025 - proceedings.iclr.cc",[],https://proceedings.iclr.cc/paper_files/paper/2025/hash/672d794a6052b6beab0e2e002204d974-Abstract-Conference.html,unknown,unknown
Closed-Loop Triplet Synergistic Generation for Long-Form Video,"X Yin, X Peng, X Li, Z Xiong, Y Lu",2026,0,"… that formulates multi-shot long video generation as a closed-loop … on multi-shot story videos and long-range consistency. … by maintaining a stable character identity and appearance, …",bMDknoXuJbIJ,"X Yin, X Peng, X Li, Z Xiong, Y Lu - arXiv preprint arXiv:2606.16184, 2026 - arxiv.org",[],https://arxiv.org/abs/2606.16184,unknown,unknown
Cine-shot Director: Native Cinema-Grade Multi-Shot Video Generation Framework,"J Han, X Ye, Z Zhen, L Song, Q Wang…",2026,0,"… generation modes effectively through mixed training data. To enable precise frame-level control over shot transitions in multi-shot video generation… keyframes with consistent characters, …",nRsdogvHqa4J,"J Han, X Ye, Z Zhen, L Song, Q Wang… - ICASSP 2026-2026 …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11464190/,unknown,unknown
Shot2story20k: A new benchmark for comprehensive understanding of multi-shot videos,"M Han, L Yang, X Chang, H Wang",2023,57,… and virtual objects like animated characters. We ask annotators … Note that the speaker identity and reference of visual objects … strates a proficiency in generating consistent and nuanced …,bce7cwVv-okJ,"M Han, L Yang, X Chang, H Wang - arXiv preprint arXiv:2312.10300, 2023 - mingfei.info",[],https://mingfei.info/files/paper_shot2story20k.pdf,unknown,unknown
EM-Vid: Training-Free Entity-Centric Memory for Efficient and Consistent Multi-Shot Video Generation,"J Vandersanden, M Gadelha, CHP Huang…",2026,0,"… characters, objects, and scenes (left). Conditioned on this representation, a video generation model produces multi-shot videos … identity under text guidance but operate in a single-shot …",5xWosGtOh5gJ,"J Vandersanden, M Gadelha, CHP Huang… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2605.23610,unknown,unknown
Stable cinemetrics: Structured taxonomy and evaluation for professional video generation,"A Chatterjee, R Entezari…",2026,4,… Multi-shot generation has been addressed through systems … it difficult for annotators to consistently perceive fine-grained … we evaluate whether the correct character delivers the line and/…,XvUrYyOyh0QJ,"A Chatterjee, R Entezari… - Advances in …, 2026 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2025/hash/a4aa9178b583977e31dcd11eb4fcbb38-Abstract-Conference.html,unknown,unknown
SGenerative-Model-Based Virtual Character Construction and Intelligent Performance Technologies for Film and Television,Y Song,2026,0,,fggZjIfBANoJ,"Y Song - Proceedings of the 2nd International Conference on …, 2026 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3806262.3806308,unknown,unknown
IPFormer: Instance Prompt-guided Transformer for Multi-modal Multi-shot Video Understanding,"Y Liang, J Jiao, X Feng, X Liu, K Liu, Y Wang…",2026,0,"… instance consistency and omission in multi-shot scenarios, we propose using character … We also assess performance on more general Multiple-choice question-answering in Table …",MKHAQ_pZ22QJ,"Y Liang, J Jiao, X Feng, X Liu, K Liu, Y Wang… - Proceedings of the …, 2026 - ojs.aaai.org",[],https://ojs.aaai.org/index.php/AAAI/article/view/37624,unknown,unknown
